fold,feature,importance_mean,importance_std,model,feature_space
1,cation_exchange_capacity,0.0,0.0,dummy_mean,pca
1,soil_ph_sd,0.0,0.0,dummy_mean,pca
1,soil_organic_carbon_sd,0.0,0.0,dummy_mean,pca
1,clay_pct_sd,0.0,0.0,dummy_mean,pca
1,sand_pct_sd,0.0,0.0,dummy_mean,pca
1,silt_pct_sd,0.0,0.0,dummy_mean,pca
1,bulk_density_sd,0.0,0.0,dummy_mean,pca
1,cation_exchange_capacity_sd,0.0,0.0,dummy_mean,pca
1,season,0.0,0.0,dummy_mean,pca
1,crop,0.0,0.0,dummy_mean,pca
2,rain_total_mm,0.0,0.0,dummy_mean,pca
2,rainy_days_1mm,0.0,0.0,dummy_mean,pca
