district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Mubende,0.5301646302498506,31.338399877838615,34.68333333333333,36.233333333333334,29.083333333333332,33.7,1.2383333333333333,23.5,6.216666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Mukono,0.43207138163643116,32.79011040424461,30.833333333333332,41.55,27.633333333333333,26.4,1.3666666666666665,19.416666666666668,5.5,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Nakaseke,1.0437404219885733,32.15389318179236,36.25,39.983333333333334,23.716666666666665,22.06666666666667,1.3683333333333334,18.05,6.0,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Nakasongola,1.3630633044136593,32.31010822302173,37.766666666666666,39.56666666666667,22.666666666666668,23.216666666666665,1.3683333333333334,19.05,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Bukomansimbi,-0.12566780325399027,31.589067188783485,35.28333333333333,37.75,27.0,21.216666666666665,1.3366666666666667,17.916666666666664,5.85,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Butambala,0.16934265801869158,32.104155231916316,35.63333333333333,42.71666666666667,21.6,24.85,1.3416666666666666,20.15,5.55,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Gomba,0.21189340276950638,31.815078573226113,33.56666666666667,36.33333333333333,30.1,28.48333333333333,1.3083333333333333,20.616666666666667,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kalangala,-0.3043543889880096,32.163667555693046,33.96666666666667,39.166666666666664,26.833333333333332,50.03333333333334,1.1716666666666666,23.95,5.366666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kalungu,-0.13767095748490565,31.806917952915093,35.53333333333333,41.233333333333334,23.26666666666667,23.76666666666667,1.3316666666666666,18.166666666666664,5.716666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Lwengo,-0.40072170063885576,31.482415182914778,34.08333333333333,43.88333333333333,22.0,19.933333333333334,1.3466666666666667,18.016666666666666,5.916666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
